GeneID,150-2,150-3,33-1,33-2,33-3,con-1,con-2,con-3
AQP2,0.8918918918918919,0.0,0.948948948948949,0.9514547015460676,0.8943943943943944,0.9434464953514141,0.948948948948949,0.8903903903903904
AQP12B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AQP12A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AQP11,0.0,0.8903903903903905,0.9029029029029029,0.8743743743743744,0.8718718718718719,0.8658658658658658,0.8738738738738738,0.8903903903903904
AQP10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AQP1,0.0,0.0,0.9154154154154155,0.8333333333333333,0.8468468468468469,0.8503503503503503,0.8873873873873874,0.8308308308308309
APTX,0.8353353353353354,0.0,0.0,0.0,0.6721721721721722,0.6771771771771772,0.6626626626626626,0.0
APTR,0.9803243571025061,0.985985985985986,0.9828328338035164,0.9826861847960857,0.9802650734032143,0.9829477880440749,0.9825427349795034,0.9790689039266168
APRT,0.7892892892892893,0.9079079079079079,0.8383383383383383,0.9014014014014013,0.8943943943943944,0.8693693693693694,0.9204204204204205,0.8873873873873874
APPL2,0.0,0.9339339339339339,0.9274274274274275,0.9164164164164164,0.9104104104104105,0.9239239239239239,0.948948948948949,0.9602972085189233
APPL1,0.0,0.0,0.7587587587587588,0.8653653653653653,0.8648648648648649,0.6931931931931932,0.7022022022022022,0.8453453453453453
APPBP2,0.0,0.8613613613613613,0.8228228228228228,0.8333333333333333,0.7997997997997999,0.6576576576576576,0.8068068068068068,0.7667667667667668
APP,0.8918918918918919,0.9079079079079079,0.9214214214214214,0.92992992992993,0.9601626864620453,0.9104104104104105,0.8583583583583584,0.9259259259259259
APOOP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOOL,0.0,0.0,0.0,0.0,0.5085085085085085,0.0,0.6391391391391391,0.0
APOO,0.0,0.0,0.0,0.0,0.0,0.7702702702702703,0.0,0.0
APOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOLD1,0.0,0.0,0.8143143143143143,0.0,0.7707707707707707,0.7367367367367368,0.0,0.7807807807807807
APOL6,0.8918918918918919,0.0,0.8518518518518519,0.6936936936936937,0.7347347347347347,0.8418418418418419,0.7362362362362362,0.8043043043043043
APOL5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
