"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneID"
"H4C4",1778.7991714443,0.910669325818,0.181599949480245,5.01470032576779,5.31161863745422e-07,5.46432767328102e-05,"H4C4"
"FOXQ1",1150.92432590796,0.790533417772976,0.157712952118598,5.01248253332108,5.37322542435165e-07,5.47506083953698e-05,"FOXQ1"
"MMP24-AS1-EDEM2",305.514973552857,1.35999989746008,0.271806467065595,5.00355974654521,5.62812117147405e-07,5.68068569939631e-05,"MMP24-AS1-EDEM2"
"GIGYF1",18.9902594897849,4.35181476674229,0.872340199563549,4.98866700046565,6.07973414261501e-07,6.07916594316242e-05,"GIGYF1"
"UPP2",149.583304099134,1.4136728229124,0.284881932593662,4.96231126362367,6.96592438162617e-07,6.900780088798e-05,"UPP2"
"OSTM1",49.4660621019112,-3.04050898119828,0.613525420175426,-4.95579951736785,7.20334621806682e-07,7.07051387037587e-05,"OSTM1"
"FBXO7",87.2629752488131,-2.13664843682351,0.431616162042248,-4.95034390443971,7.40824554484955e-07,7.20552900766776e-05,"FBXO7"
"B4GALT1",397.842447201419,0.990599877172811,0.200512654355132,4.94033596213005,7.79880791179188e-07,7.51706719353706e-05,"B4GALT1"
"C9orf72",275.496725416675,-1.13721444240942,0.23160234228915,-4.91020268262067,9.0982305216823e-07,8.69124717423919e-05,"C9orf72"
"PRSS3",1932.43450348629,0.883834010998703,0.180076942830311,4.90809093661454,9.196721257158e-07,8.70758590533924e-05,"PRSS3"
"UHRF1",329.5063314488,1.04662139204019,0.213738002675033,4.89674919266216,9.7435067533641e-07,9.14436655738969e-05,"UHRF1"
"DST",232.875456451759,1.66411615382607,0.340368048512642,4.88916677431389,1.01263679573477e-06,9.42104441527507e-05,"DST"
"TCF7L1",37744.2319729382,0.674440223000799,0.138033834598778,4.88605003955147,1.02879061329346e-06,9.48881963071269e-05,"TCF7L1"
"ADCK1",1168.93984055314,0.737100019982784,0.151142880704054,4.87684247216425,1.07797453415702e-06,9.81284267412598e-05,"ADCK1"
"TRIP13",273.617006016521,1.02973513138011,0.211181864578364,4.87605852631348,1.08226510472648e-06,9.81284267412598e-05,"TRIP13"
"MIDN",213.957024331558,1.14483096857886,0.235927211202468,4.85247531534795,1.21929964272962e-06,0.00010962425947533,"MIDN"
